Histogram data for solute 1
value  % cumul. %
0   77.83   77.83
1    8.92   86.75
2    1.12   87.87
3    0.62   88.49
4    0.63   89.12
5    0.53   89.65
6    0.42   90.07
7    0.34   90.41
8    0.32   90.73
9    0.33   91.06
10    0.35   91.41
11    0.34   91.75
12    0.32   92.07
13    0.28   92.35
14    0.27   92.61
15    0.26   92.87
16    0.27   93.14
17    0.25   93.39
18    0.24   93.62
19    0.21   93.83
20    0.21   94.04
21    0.17   94.22
22    0.25   94.47
23    0.22   94.69
24    0.23   94.92
25    0.19   95.11
26    0.22   95.33
27    0.26   95.58
28    0.16   95.74
29    0.25   95.99
30    0.26   96.25
31    0.21   96.46
32    0.21   96.68
33    0.13   96.81
34    0.24   97.05
35    0.21   97.25
36    0.20   97.45
37    0.20   97.65
38    0.13   97.78
39    0.17   97.96
40    0.15   98.10
41    0.10   98.20
42    0.12   98.32
43    0.12   98.43
44    0.08   98.51
45    0.09   98.60
46    0.05   98.64
47    0.06   98.70
48    0.07   98.77
49    0.10   98.87
50    0.05   98.92
51    0.08   99.00
52    0.08   99.08
53    0.04   99.12
54    0.08   99.20
55    0.03   99.23
56    0.05   99.27
57    0.04   99.31
58    0.02   99.33
59    0.04   99.37
60    0.03   99.40
61    0.03   99.43
62    0.03   99.47
63    0.04   99.50
64    0.02   99.53
65    0.03   99.56
66    0.01   99.57
67    0.02   99.59
68    0.02   99.61
69    0.01   99.62
70    0.01   99.62
71    0.02   99.64
72    0.03   99.67
73    0.02   99.69
74    0.00   99.70
75    0.02   99.71
76    0.01   99.72
77    0.01   99.73
78    0.00   99.74
79    0.00   99.74
80    0.01   99.74
81    0.01   99.76
82    0.01   99.77
83    0.01   99.77
84    0.00   99.78
85    0.02   99.79
86    0.01   99.80
87    0.00   99.80
88    0.01   99.82
89    0.01   99.83
90    0.02   99.84
91    0.01   99.85
92    0.00   99.86
93    0.00   99.86
94    0.01   99.87
95    0.02   99.88
96    0.00   99.89
97    0.01   99.89
98    0.02   99.91
99    0.01   99.92
100    0.01   99.92
Mean = 2.870269 deviation = 10.303043 min = -10.239997 max  = 152.995605
